Key,AR,Chinese Trad.,CZ,English(en),FR,DE,IN,HU,IT,JP,KR,MS,PL,PT,RO,RU,ES,TH,TR,VN
language_name,العربية,繁體中文,ČEŠTINA,ENGLISH,FRANÇAIS,DEUTSCH,BAHASA INDONESIA,MAGYAR,ITALIANO,日本語,한국어,MELAYU,POLSKI,PORTUGUÊS,ROMÂNĂ,РУССКИЙ,ESPAÑOL,ไทย,TÜRKÇE,TIẾNG VIỆT
settings,الاعدادات,設定,Nastavení,Settings,Paramètres,Einstellungen,Pengaturan,Beállítások,Impostazioni,設定,설정,Tetapan,Ustawienia,Configurações,Setări,Настройки,Ajustes,ตั้งค่า,Ayarlar,Cài đặt
privacy_policy,سياسة الخصوصية,隱私權政策,Zásady ochrany osobních údajů,Privacy Policy,Politique de confidentialité,Datenschutzerklärung,Kebijakan Privasi,Adatvédelmi irányelvek,Informativa sulla privacy,プライバシーポリシー,개인정보보호정책,Dasar Privasi,Polityka prywatności,Política de Privacidade,Politici de confidențialitate,Конфиденциальность,Política de privacidad,นโยบายเรื่องความเป็นส่วนตัว,Gizlilik Politikası,Chính sách bảo mật
terms_of_use,تعليمات الاستخدام,使用條款,Podmínky používání,Terms of Use,Conditions d’utilisation,Nutzungsbedingungen,Syarat Penggunaan,Felhasználási feltételek,Condizioni d'uso,利用規約,이용약관,Terma Penggunaan,Warunki użytkowania,Condições de Uso,Termeni și condiții,Условия использования,Términos de uso,ข้อตกลง,Kullanım Şartları,Điều khoản sử dụng
follow_us,تابعنا,關注我們,Sleduj nás,Follow Us,Suivre,Folge uns,Ikuti Akun Kami,Kövess be minket!,Seguici,フォローする,팔로우 하기,Ikuti Kami,Obserwuj nas,Siga-nos,Urmărește-ne,Подписывайтесь на нас,Síguenos,ติดตามเรา,Bizi Takip Edin,Theo dõi chúng tôi
like_us,قم بالإعجاب بنا,點讚,Lajkni nás,Like Us,Aimer,Gib uns ein Like,Sukai Laman Kami,Kedveld az oldalunkat!,Metti Mi piace,いいねする,좋아요 누르기,Sukai Kami,Polub nas,Nos dê um like!,Dă-ne un Like,Ставьте «Нравится»,Danos un like,กดไลค์เรา,Bizi Beğenin,Thích chúng tôi
powerups_info,معلومات عن المساعدات,道具介紹,Informace o bonusech,Powerups Info,Info sur les bonus,Infos zu Power Ups,Info Bantuan,Segítségek,Info potenziamenti,パワーアップ情報,파워업 정보,Info Naik Kuasa,Wzmocnienia,Informações dos Poderes,Informații super-abilități,Об усилителях,Información de los potenciadores,ข้อมูลพาวเวอร์อัป,Güçlendirici Bilgileri,Thông tin vật phẩm hỗ trợ
rate_us,قيمنا,評分,Ohodnoť nás,Rate Us,Noter,BEWERTEN,Beri Penilaian,Értékeld a játékot!,Valutaci,評価する,평가하기,Beri Kami Rating,Oceń grę,AVALIAR,Dă-ne un calificativ,Оцените нас,Califícanos,ให้คะแนนเรา,Oy Verin,Đánh giá chúng tôi
help_info,مساعدة/معلومات,提示/介紹,Nápověda/Informace,Help/Info,Aide/Infos,Hilfe/Info,Info Permainan,Tudnivalók,Aiuto/Info,ヘルプ/情報,도움말/정보,Bantu/Info,Pomoc/Info,Ajuda/Info,Ajutor,Помощь/справка,Ayuda/Info,ช่วยเหลือ/ข้อมูล,Yardım/Bilgi,Trợ giúp/Thông tin
version,الإصدار,版本,Verze,Version,Version,Version,Versi,Verzió:,Versione,バージョン,버전,Versi,Wersja,Versão,Versiune,Версия,Versión,เวอร์ชัน,Versiyon,Phiên bản
